age,poverty_ratio,bmi,height_cm,gender_Male,ethnicity_Non-Hispanic Asian,ethnicity_Non-Hispanic Black,ethnicity_Non-Hispanic White,ethnicity_Other Hispanic,ethnicity_Other/Multi-Racial,education_College graduate+,education_High school/GED,education_Some college,marital_status_Living with partner,marital_status_Married,marital_status_Never married,marital_status_Widowed,bmi_category_Obese,bmi_category_Overweight,age_group_45-59,age_group_60-74,age_group_75+
-0.7276626579584544,-1.2126322663080449,-0.263723804459388,-1.094086814193177,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0.5196581760696901,-0.8509604407682816,3.6245431415781657,-0.3006829082854489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1040022409443822,-0.7324817392983591,-0.5786186627652459,-0.4814584817834104,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
-0.5008770517715191,0.308883689410959,1.255986163886276,-0.0395626354550581,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
1.1433185930837624,0.1031048921210937,-0.5375454203775256,0.2516868996249942,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1.0866221915370284,-0.526702942008494,0.8178715784172553,-0.6521909678648218,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0.9165329868968268,-0.4581100095785387,-1.3042459449483106,-1.5359826605215292,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-1.0678410672388574,-0.065259578388796,-0.1678862388880394,-1.4656810486056555,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-0.7843590595051882,-0.8759033252882653,1.0643110327435796,-0.1500365970371462,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.653586207004367,0.4897196021808406,0.7357250936418148,-1.3451639996070146,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
